wave, supergroup,trend,label, mortRate, logmortRate, smokeRate,logSmokeRate, wealth, logwealth, count, logcount,ageAve,logageAve
3,35,2,agecat5;2;2.0,0.054545455,-2.908720897,0.266666667,-1.32175584,67983.18919,11.12701574,55,4.940495849,66.831701,4.329728021
3,36,2,agecat5;2;2.0,0.007936508,-4.836281907,0.127659574,-2.058388132,76069.18824,11.23939858,252,6.368649596,67.05708319,4.331011236
3,37,2,agecat5;2;2.0,0.024390244,-3.713572067,0.261682243,-1.340624324,45372.68142,10.72266547,205,6.083168711,66.53498929,4.692338233
3,38,2,agecat5;2;2.0,0.045045045,-3.100092289,0.326530612,-1.119231576,42859.30476,10.66567805,222,5.790110345,63.11541339,4.470246752
3,39,2,agecat5;2;2.0,0.047619048,-3.044522438,0.111111111,-2.197224577,71886.38558,11.18284217,63,4.913877022,75.35096174,4.556835919
3,40,2,agecat5;2;2.0,0.048780488,-3.020424886,0.384615385,-0.955511445,24309.8,10.09863484,41,4.017427136,62.62047755,4.38916829
3,41,2,agecat5;2;2.0,0.032407407,-3.429368259,0.1875,-1.673976434,56435.74169,10.94085795,216,5.383352032,75.20312603,4.477151504
3,42,2,agecat5;2;2.0,0.008163265,-4.80811103,0.106557377,-2.239071687,107458.8267,11.58486305,245,5.664707837,63.2748795,4.242448154
3,43,2,agecat5;2;2.0,0.016666667,-4.094344562,0.277777778,-1.280933845,35129.11538,10.46678556,60,4.687144871,63.07751536,4.503884953
3,44,2,agecat5;2;2.0,0.013937282,-4.273187855,0.220472441,-1.511982576,85136.3189,11.352009,287,5.895837942,62.61080346,4.472503281
3,45,2,agecat5;2;2.0,0.010948905,-4.514515818,0.273504274,-1.296438032,117823.8158,11.6769457,274,6.190362034,57.11540099,4.759450436
3,46,2,agecat5;2;2.0,0.069686411,-2.663749942,0.090909091,-2.397895273,36281.63014,10.49906684,287,5.708812084,86.24549775,4.841810569
3,47,2,agecat5;2;2.0,0.119402985,-2.125251078,0.173913043,-1.749199855,14797.90755,9.602241068,67,4.842739028,86.24762859,4.756275925
3,48,2,agecat5;2;2.0,0.045977011,-3.079613758,0.428571429,-0.84729786,24469.31818,10.10517529,87,4.827422115,75.0003228,5.100774662
3,49,2,agecat5;2;2.0,0.024390244,-3.713572067,0.125,-2.079441542,46716.34688,10.75184942,82,5.072903255,74.81554287,4.673636814
3,50,2,agecat5;2;2.0,0.010989011,-4.510859507,0.352941176,-1.041453875,39970.275,10.59589133,91,4.844176705,59.82059143,4.61139836
3,51,2,agecat5;2;2.0,0.022727273,-3.784189634,0.1,-2.302585093,175041.0882,12.07277602,44,4.42626316,70.48221088,5.138283355
3,52,2,agecat5;2;2.0,0.025641026,-3.663561646,0.117647059,-2.140066163,37679.99911,10.53688471,39,4.252708078,60.37574912,5.081796062
3,53,2,agecat5;2;2.0,0.015384615,-4.17438727,0.235294118,-1.446918983,94076.71311,11.45186583,65,4.593959896,57.51422992,4.291514082
3,54,2,agecat5;2;2.0,0.004545455,-5.393627546,0.21875,-1.519825754,142950.5097,11.87025376,220,5.971578301,62.92276225,4.724275552
3,55,2,agecat5;2;2.0,0.042105263,-3.16758253,0.321428571,-1.134979933,15983.30189,9.679299824,95,5.133448497,79.76598524,5.131449445
3,56,2,agecat5;2;2.0,0.071428571,-2.63905733,0.238095238,-1.435084525,184940.6771,12.12779039,42,3.839316851,60.34425203,4.970940206
3,57,2,agecat5;2;2.0,0.113333333,-2.17742195,0.078431373,-2.545531272,29103.30909,10.27860716,150,5.531012589,85.92981366,4.98771862
3,58,2,agecat5;2;2.0,0.024691358,-3.701301974,0.317073171,-1.148622709,47769.925,10.77415154,81,4.597538524,62.36352305,4.648504703
3,59,2,agecat5;2;2.0,0.028571429,-3.555348061,0.5,-0.693147181,19720.06909,9.889392132,35,4.068356814,60.03649582,4.247268837
3,60,2,agecat5;2;2.0,0.044642857,-3.109060959,0.383333333,-0.958850346,31361.45052,10.35333473,112,5.124886701,71.06968372,4.834373137
3,61,2,agecat5;2;2.0,0.023809524,-3.737669618,0.277777778,-1.280933845,64865.89362,11.08007724,84,4.855693591,62.49750072,4.857519177
3,62,2,agecat5;2;2.0,0.069444444,-2.667228207,0.347826087,-1.056052674,13210.15625,9.488741226,72,5.168715144,79.26606634,4.527904717
3,63,2,agecat5;2;2.0,0.030864198,-3.478158423,0.230769231,-1.466337069,134082.8591,11.80621324,162,5.330759773,66.75994573,5.044065315
3,64,2,agecat5;2;2.0,0.030769231,-3.481240089,0.173913043,-1.749199855,20892.16685,9.947129576,65,4.660947175,86.73011053,5.193054064
3,65,2,agecat5;2;2.0,0.039473684,-3.232121052,0.228571429,-1.47590652,54483.88636,10.90566027,76,5.256224058,71.10883166,4.679095628
3,66,2,agecat5;2;2.0,0.005714286,-5.164785974,0.4,-0.916290732,37025.10588,10.5193515,175,5.847262078,57.09858629,4.29425359
3,67,2,agecat5;2;2.0,0.05625,-2.877949238,0.166666667,-1.791759469,70194.73394,11.15902857,160,5.423610654,79.91911946,4.526977766
3,68,2,agecat5;2;2.0,0.090909091,-2.397895273,0.173913043,-1.749199855,44693.1,10.70757441,55,5.003296039,74.87840889,4.798909166
3,69,2,agecat5;2;2.0,0.071428571,-2.63905733,0.5,-0.693147181,145871.25,11.89047966,14,3.21124501,60.18870581,4.621891382
3,70,2,agecat5;2;2.0,0.037313433,-3.288401888,0.24,-1.427116356,70174.73304,11.1587436,134,5.743973812,75.17701806,4.72038576
3,71,2,agecat5;2;2.0,0.01986755,-3.918667548,0.17721519,-1.730390523,142263.0285,11.86543294,151,5.355808226,59.80212053,4.541730508
3,72,2,agecat5;2;2.0,0.023809524,-3.737669618,0.533333333,-0.628608659,77147.58333,11.25347553,42,4.572730385,59.69037233,4.459571057
3,73,2,agecat5;2;2.0,0.015873016,-4.143134726,0.161290323,-1.824549292,196839.1951,12.19014241,63,4.434544123,63.13870773,5.062392732
3,74,2,agecat5;2;2.0,0.120689655,-2.114532861,0.055555556,-2.890371758,12375.66667,9.423487458,58,4.505093236,85.69633598,4.600580929
3,75,2,agecat5;2;2.0,0.166666667,-1.791759469,0.045454545,-3.091042453,19649,9.885781725,54,4.159079428,85.86365388,4.572850005
3,76,2,agecat5;2;2.0,0.041666667,-3.17805383,0.416666667,-0.875468737,50518.3737,10.83009238,48,3.914016024,59.99521483,4.414898583
3,77,2,agecat5;2;2.0,0.083333333,-2.48490665,0.4,-0.916290732,27063.125,10.20592738,24,3.754268998,74.7862778,5.239606575
3,78,2,agecat5;2;2.0,0.035714286,-3.33220451,0.214285714,-1.540445041,86536.99578,11.3683273,56,4.86705742,63.00869658,4.157378813
3,79,2,agecat5;2;2.0,0.142857143,-1.945910149,0.285714286,-1.252762968,181584.7832,12.10947795,14,2.925153784,63.00549822,4.548540465
3,80,2,agecat5;2;2.0,0.230769231,-1.466337069,0.333333333,-1.098612289,229402.2222,12.34323217,13,3.075214312,80.31603783,4.764822364
3,81,2,agecat5;2;2.0,0.023529412,-3.749504076,0.348837209,-1.053149915,85864.44737,11.36052514,85,4.659920828,57.29909147,4.848065588
3,82,2,agecat5;2;2.0,0.047619048,-3.044522438,0.444444444,-0.810930216,9958.454545,9.206177172,21,3.771367142,60.20810702,4.796044233
3,83,2,agecat5;2;2.0,0.01369863,-4.290459441,0.166666667,-1.791759469,22709.02941,10.0305179,73,4.703445004,66.88054649,5.103028278
3,84,2,agecat5;2;2.0,0.035714286,-3.33220451,0.5,-0.693147181,36802,10.51330747,28,4.077586051,56.699535,4.685388176
3,85,2,agecat5;2;2.0,0.090909091,-2.397895273,0.090909091,-2.397895273,8441.25,9.040885681,22,4.047477321,86.34095331,5.384755093
3,86,2,agecat5;2;2.0,0.118644068,-2.131627295,0.107142857,-2.233592222,64403.06452,11.0729165,59,4.731111697,79.73757503,4.493964343
3,87,2,agecat5;2;2.0,0.111111111,-2.197224577,0.5,-0.693147181,378654.5714,12.84437965,9,3.169862287,70.2666013,4.491634889
